Name,Status,Players,Mechanisms
L'Oracle B.A-BET,beta,2-5,Cards|Area Majority
LLAMA,public,2-6,Cards|Hand management|Push your luck
La Granja,public,1-4,Cards|Dice|Worker placement|Hand management|Resource management
La Marche du Crabe,public,2,Cards|Tile placement|Cooperative|Resource management|Campaign
Lady's Choice,beta,2-6,Cards|Voting
Lancaster,alpha,3-5,Worker placement|Area Majority
Las Vegan,public,2-5,Cards|Trick-taking
Le Dernier Peuple,public,3-5,
Le Roy des Ribauds,public,2,Cards
Legend Raiders,public,2-4,Collection|Objectives
Legendary Inventors,public,2-5,Area Majority|Collection|Asymmetrical
Legends of Hellas,public,1-5,Cards|Cooperative
Let's Catch the Lion!,public,2,
Letter Tycoon,public,2-5,Cards|Word games
Lewis & Clark,public,1-5,Cards|Worker placement|Hand management|Race|Deck Building
Libertalia,public,2-6,Cards|Bluffing|Collection
Lielow,public,2,
Lifeline,public,2,
Line It,public,2-5,Cards
Lineae,beta,1-5,Resource management
Lines of Action,public,2,
Linkage,public,2,Tile placement
Linx,public,2-4,
Little Factory,public,2-4,Cards|Combos|Race|Resource management
Liverpool (Cozy Oaks) Rummy,public,2-16,Cards
Living Forest,public,2-4,Cards|Tile placement|Race|Push your luck|Deck Building
Loco Momo,public,1-4,Tile placement|Collection
Logger,public,2-4,Worker placement
Look at the Stars,public,2-8,Tile placement|Roll & Write
Looot,public,2-4,Worker placement|Tile placement|Collection
Lords of Xidit,public,3-5,Area Majority|Collection
Lost Cities,public,2,Cards|Hand management
Lost Explorers,public,2-4,Worker placement|Race|Collection
Lost Ruins of Arnak,public,2-4,Worker placement|Race|Deck Building
Lost Seas,public,2-4,
Love Letter,public,3-8,Cards|Roles
Lucky Numbers,public,2-4,Tile placement|Race|Random
Ludo,beta,2-4,Dice|Race|Random
Lumen: The Lost World,public,2,Tile placement|Area Majority|Conquest|Objectives|Roll & Write
Lunar,beta,2 or 4,Cards|Team|Trick-taking
Lure,public,2-5,Dice|Auction
Luxor,public,2-4,Hand management|Race|Collection
MLEM: Space Agency,public,2-5,Push your luck
MOD X,alpha,2-4,Tile placement
MOW,public,2-5,Cards
Maatatahay,public,2,
Machiavelli,public,2-5,Cards
Madeira,public,2-4,Dice|Worker placement|Area Majority|Resource management
Magic Maze,alpha,1-8,Cooperative|Speed
Mahjong,alpha,3-4,Combos
Mammalath,public,2,
Mandala,public,1-2,Cards
Manhattan,alpha,2-4,Hand management|Area Majority
Mapmaker: The Gerrymandering Game,public,2-4,Area Majority
Maps of Misterra,public,2-4,Tile placement|Objectives
Maracaibo,public,1-4,Cards|Hand management|Conquest
Marco Polo II: In the Service of the Khan,public,2-4,Dice|Worker placement|Asymmetrical|Objectives
Marrakech,public,2-4,Dice|Tile placement|Area Majority
Marram,public,2-4,Tile placement
Martian Chess,alpha,2,
Martian Dice,public,2-10,Dice|Collection|Push your luck
Mascarade,public,4-12,Cards|Bluffing|Roles
Masters of Renaissance: Lorenzo il Magnifico – The Card Game,beta,2-4,Cards|Resource management|Engine building
Mate,beta,2,Cards|Hand management|Trick-taking
Mattock,public,2,Tile placement
Mech A Dream,public,2-4,Worker placement|Engine building
Medina,public,2-4,Tile placement|Area Majority
Medo,public,2,
Mega Jackpot,public,2-4,Cards|Collection|Auction|Push your luck
Megalomania,public,2-4,Cards|Trick-taking
